Quarter,All dwellings
01/01/93,79289
04/01/93,81224
07/01/93,82674
10/01/93,81307
01/01/94,79678
04/01/94,89547
07/01/94,93067
10/01/94,87071
01/01/95,88415
04/01/95,88259
07/01/95,91738
10/01/95,89742
01/01/96,89964
04/01/96,89155
07/01/96,96440
10/01/96,100102
01/01/97,101683
04/01/97,105489
07/01/97,109923
10/01/97,104352
01/01/98,105523
04/01/98,115227
07/01/98,120720
10/01/98,118879
01/01/99,125810
04/01/99,137052
07/01/99,149940
10/01/99,151209
01/01/00,156136
04/01/00,167336
07/01/00,161128
10/01/00,169726
01/01/01,173364
04/01/01,183600
07/01/01,186853
10/01/01,183116
01/01/02,183990
04/01/02,206270
07/01/02,221889
10/01/02,210122
01/01/03,216755
04/01/03,223800
07/01/03,252240
10/01/03,253715
01/01/04,264178
04/01/04,277306
07/01/04,280650
10/01/04,269411
01/01/05,273402
04/01/05,286939
07/01/05,296033
10/01/05,273820
01/01/06,293059
04/01/06,302991
07/01/06,315125
10/01/06,311001
01/01/07,333088
04/01/07,339904
07/01/07,354573
10/01/07,340924
01/01/08,344632
04/01/08,355026
07/01/08,360405
10/01/08,345914
01/01/09,327120
04/01/09,323017
07/01/09,352034
10/01/09,350309
01/01/10,380020
04/01/10,381495
07/01/10,396853
10/01/10,380215
01/01/11,400967
04/01/11,395548
07/01/11,414303
10/01/11,395137
01/01/12,383791
04/01/12,422219
07/01/12,428712
10/01/12,406796
01/01/13,405331
04/01/13,426988
07/01/13,448863
10/01/13,429830
01/01/14,452068
04/01/14,479048
07/01/14,489973
10/01/14,457093
01/01/15,477197
04/01/15,498714
07/01/15,546653
10/01/15,532684
01/01/16,561228
04/01/16,508435
07/01/16,534953
10/01/16,532472
01/01/17,526177
04/01/17,542853
07/01/17,547519
10/01/17,526377
01/01/18,530492
04/01/18,541350
07/01/18,552753
10/01/18,527934
01/01/19,519847
04/01/19,533781
07/01/19,549837
10/01/19,548705
01/01/20,551079
04/01/20,539924
07/01/20,607198
10/01/20,602902
01/01/21,593618
04/01/21,604421
07/01/21,608988
10/01/21,603561
01/01/22,614482
04/01/22,620461
07/01/22,638125
10/01/22,581515
01/01/23,563436
04/01/23,590512
07/01/23,625583
10/01/23,581666
