Quarter,First time buyers
01/01/93,63398
04/01/93,67307
07/01/93,65977
10/01/93,64954
01/01/94,62711
04/01/94,71352
07/01/94,71468
10/01/94,70809
01/01/95,71405
04/01/95,65953
07/01/95,63013
10/01/95,63252
01/01/96,63633
04/01/96,65261
07/01/96,69008
10/01/96,70201
01/01/97,69015
04/01/97,68600
07/01/97,78641
10/01/97,76772
01/01/98,77632
04/01/98,89557
07/01/98,100845
10/01/98,91670
01/01/99,98766
04/01/99,116093
07/01/99,119897
10/01/99,120752
01/01/00,130260
04/01/00,122387
07/01/00,123841
10/01/00,124568
01/01/01,136550
04/01/01,140711
07/01/01,142867
10/01/01,144068
01/01/02,148784
04/01/02,162877
07/01/02,185113
10/01/02,178096
01/01/03,175716
04/01/03,181150
07/01/03,179179
10/01/03,187126
01/01/04,193764
04/01/04,203541
07/01/04,211363
10/01/04,207039
01/01/05,208354
04/01/05,217441
07/01/05,223079
10/01/05,215689
01/01/06,228506
04/01/06,237811
07/01/06,240786
10/01/06,240497
01/01/07,250175
04/01/07,258468
07/01/07,267692
10/01/07,258690
01/01/08,254570
04/01/08,271374
07/01/08,272167
10/01/08,252021
01/01/09,233654
04/01/09,243089
07/01/09,266834
10/01/09,272851
01/01/10,290244
04/01/10,296617
07/01/10,301606
10/01/10,284650
01/01/11,296475
04/01/11,302993
07/01/11,317589
10/01/11,297632
01/01/12,295746
04/01/12,331398
07/01/12,331495
10/01/12,312667
01/01/13,309751
04/01/13,342199
07/01/13,345881
10/01/13,334397
01/01/14,347110
04/01/14,374415
07/01/14,376322
10/01/14,356374
01/01/15,361470
04/01/15,376227
07/01/15,397719
10/01/15,394905
01/01/16,413596
04/01/16,403664
07/01/16,416961
10/01/16,419918
01/01/17,411701
04/01/17,430571
07/01/17,429092
10/01/17,418380
01/01/18,420500
04/01/18,435965
07/01/18,436073
10/01/18,421936
01/01/19,420350
04/01/19,430731
07/01/19,429241
10/01/19,433432
01/01/20,436190
04/01/20,432545
07/01/20,480864
10/01/20,477747
01/01/21,475860
04/01/21,478208
07/01/21,449124
10/01/21,449408
01/01/22,469625
04/01/22,478305
07/01/22,490110
10/01/22,460797
01/01/23,444299
04/01/23,462031
07/01/23,478223
10/01/23,461996
